topic,course_id,title,url,thumbnail,instructor,instructor_photo,num_lectures,subscribers,price,currency,duration,rating,description
Graphic Design,2784160,The Canva Master Course for 2025 and Beyond!,https://www.udemy.com/course/the-canva-master-course/,https://img-c.udemycdn.com/course/480x270/2784160_9057_7.jpg,Greg Radcliffe,https://img-c.udemycdn.com/user/100x100/387914_e159_4.jpg,135,10515,$74.99,USD,21 total hours,4.6060605,The ultimate Canva resource for anyone looking to level-up their design and social media marketing game
Graphic Design,4623228,Graphic Design Theory - Space,https://www.udemy.com/course/graphic-design-theory-space/,https://img-c.udemycdn.com/course/480x270/4623228_adbf_2.jpg,Martin Perhiniak,https://img-c.udemycdn.com/user/100x100/713757_e8ae_6.jpg,24,38,$19.99,USD,1.5 total hours,5.0,Elevate your designs with perspective and depth
Graphic Design,4623148,Graphic Design Theory - Composition,https://www.udemy.com/course/graphic-design-theory-composition/,https://img-c.udemycdn.com/course/480x270/4623148_a742_2.jpg,Martin Perhiniak,https://img-c.udemycdn.com/user/100x100/713757_e8ae_6.jpg,25,221,$19.99,USD,1.5 total hours,4.5,Elevate your designs to the next level!
Graphic Design,4626616,Graphic Design Theory - Hierarchy,https://www.udemy.com/course/graphic-design-theory-hierarchy/,https://img-c.udemycdn.com/course/480x270/4626616_efc3_2.jpg,Martin Perhiniak,https://img-c.udemycdn.com/user/100x100/713757_e8ae_6.jpg,21,48,$19.99,USD,1.5 total hours,5.0,Control how your viewers experience your designs!
Graphic Design,5434952,Adobe InDesign - From Basics to Professional Level Designs,https://www.udemy.com/course/adobe-indesign-cc-all-the-essentials-beyond/,https://img-c.udemycdn.com/course/480x270/5434952_e892_2.jpg,Tim Wilson,https://img-c.udemycdn.com/user/100x100/118115738_05c3.jpg,210,745,$39.99,USD,11.5 total hours,4.7,"Create Newsletters, Brochures, Reports, Web Posts - Learn Graphic Design Skills, Typography, Color Theory and Layout"
Graphic Design,2401332,Logo Design Mastery In Adobe Illustrator,https://www.udemy.com/course/logo-design-mastery-in-adobe-illustrator/,https://img-c.udemycdn.com/course/480x270/2401332_0c50_11.jpg,Lindsay Marsh,https://img-c.udemycdn.com/user/100x100/16146540_ef4c_15.jpg,45,25074,$74.99,USD,6 total hours,4.6374044,"Learn Logo Design Theory, The Creative Process, How to Work With Clients & Master Adobe Illustrator Tools"
Graphic Design,1512990,Adobe InDesign CC - Advanced Training Course,https://www.udemy.com/course/adobe-indesign-cc-advanced-training/,https://img-c.udemycdn.com/course/480x270/1512990_9384_2.jpg,Daniel Walter Scott,https://img-c.udemycdn.com/user/100x100/11614232_b0fc.jpg,75,28585,$74.99,USD,8.5 total hours,4.772152,"This Adobe InDesign tutorial is people wanting to up-skill their typography, color theory & graphic design abilities."
Graphic Design,1984658,"Adobe CC Masterclass: Photoshop, Illustrator, XD & InDesign",https://www.udemy.com/course/adobe-cc-masterclass-graphic-design-photoshop-illustrator-xd-indesign/,https://img-c.udemycdn.com/course/480x270/1984658_99af_2.jpg,Lindsay Marsh,https://img-c.udemycdn.com/user/100x100/16146540_ef4c_15.jpg,81,24652,$94.99,USD,13 total hours,4.5416665,"Learn graphic design today with Photoshop, Illustrator, Adobe XD, InDesign & more in this Adobe CC Masterclass!"
Graphic Design,5281376,Affinity Designer Desktop V2 - From Beginner to Pro Level,https://www.udemy.com/course/affinity-designer-desktop-v2/,https://img-c.udemycdn.com/course/480x270/5281376_24cc_3.jpg,Tim Wilson,https://img-c.udemycdn.com/user/100x100/118115738_05c3.jpg,214,1613,$49.99,USD,11.5 total hours,4.7403846,"Using Affinity Designer 2 learn Graphic Design, Typography, Logo, Brochure Design, Vector Drawing in this Awesome Course"
Graphic Design,3730630,Adobe Illustrator Mega Course - From Beginner to Advanced,https://www.udemy.com/course/adobe-illustrator-mega-course/,https://img-c.udemycdn.com/course/480x270/3730630_7815.jpg,Alan Ayoubi,https://img-c.udemycdn.com/user/100x100/77407536_c6da_4.jpg,124,44940,$74.99,USD,18.5 total hours,4.655063,Adobe Illustrator CC - Designed To Make You an Advanced Illustrator
Graphic Design,4977142,"Design Principles, Typography & Color Theory in 1 MegaCourse",https://www.udemy.com/course/design-principles/,https://img-c.udemycdn.com/course/480x270/4977142_cee6.jpg,Talha Bhatti,https://img-c.udemycdn.com/user/100x100/6995452_d4cf_2.jpg,53,20147,$19.99,USD,4 total hours,4.4492755,"Learn Graphic Design Principles, Color Theory and Typography without any previous knowledge"
Graphic Design,5585722,Canva for Social Media | Create & Share Content the EASY Way,https://www.udemy.com/course/canva-for-social-media-team-rondi/,https://img-c.udemycdn.com/course/480x270/5585722_bf29.jpg,Ronny Hermosa,https://img-c.udemycdn.com/user/100x100/26625950_a79c_8.jpg,47,2025,$54.99,USD,8.5 total hours,4.56,"Learn how to use Canva to plan, design and publish your social media campaigns"
Graphic Design,4522152,"Canva Master Course | Magic Studio, AI & GPT  | 2024 ready",https://www.udemy.com/course/canva-master-course-use-canva-to-grow-your-business/,https://img-c.udemycdn.com/course/480x270/4522152_8713_8.jpg,Sawan Kumar,https://img-c.udemycdn.com/user/100x100/46557976_280d_2.jpg,220,12025,$34.99,USD,23 total hours,4.784553,"Learn to design Free, Professional Quality Graphic Designs & Videos Quickly using Magic Studio, AI and ChatGPT"
